"","Model","LnL","Params","AIC"
"1","exp",-138.285470786214,1,278.570941572428
"2","weibull",-111.403355163102,2,226.806710326204
"3","gamma",-116.480680525806,2,236.961361051612
"4","lnorm",-99.4947371437767,2,202.989474287553
"5","gompertz",-92.9146735048895,2,189.829347009779
"6","llogis",-102.451471535115,2,208.902943070231
"7","gengamma",-90.3489877180199,3,186.69797543604
"8","genf",-77.780519522177,4,163.561039044354
"9","FP1-1",-99.4441509310748,2,202.88830186215
"10","FP1-2",-112.581288101956,2,229.162576203912
"11","FP2-1",-85.9967363147992,3,177.993472629598
"12","FP2-2",-86.5079566886633,3,179.015913377327
"13","RCS1",-95.226602652639,3,196.453205305278
"14","RCS2",-90.7517716396082,4,189.503543279216
"15","RP-hazard-1",-75.9076557143319,6,163.815311428664
"16","RP-hazard-2",-72.7336620098238,7,159.467324019648
"17","RP-odds-1",-75.6667556425432,6,163.333511285086
"18","RP-odds-2",-73.0546490882639,7,160.109298176528
"19","RP-normal-1",-75.8666339912847,6,163.733267982569
"20","RP-normal-2",-74.3919755951114,7,162.783951190223
