,Model,3ys_NI_OS,3ys_I_OS,6.5ys_NI_OS,6.5ys_I_OS,,,,,3ys_NI_OS,3ys_I_OS,6.5ys_NI_OS,6.5ys_I_OS
1,exp,2.885319404,2.820547292,6.121921959,5.834160801,,,,exp,2.885319404,2.820547292,6.121921959,5.834160801
2,FP1-1,2.875928957,2.82005048,6.201977317,5.82347983,,,,weibull,2.882379806,2.820740669,6.158892203,5.826710407
3,FP1-2,2.874440839,2.820926893,6.214700787,5.819885666,,,,gamma,2.883621184,2.820658846,6.153656414,5.818361809
4,FP2-1,2.873475915,2.815503538,6.20579542,5.897933244,,,,lognormal,2.876979715,2.813343642,6.169736253,5.899110894
5,FP2-2,2.873477743,2.815453384,6.207229604,5.903144031,,,,gompertz,2.874968304,2.818070779,6.202056308,5.892387156
6,gamma,2.883621184,2.820658846,6.153656414,5.818361809,,,,loglogistic,2.878514321,2.813642288,6.163548262,5.889528031
7,genf,2.87359565,2.813042129,6.188953841,5.90464945,,,,gengamma,2.875087414,2.813296304,6.179070299,5.899996694
8,gengamma,2.875087414,2.813296304,6.179070299,5.899996694,,,,genf,2.87359565,2.813042129,6.188953841,5.90464945
9,gompertz,2.874968304,2.818070779,6.202056308,5.892387156,,,,FP1-1,2.875928957,2.82005048,6.201977317,5.82347983
10,loglogistic,2.878514321,2.813642288,6.163548262,5.889528031,,,,FP1-2,2.874440839,2.820926893,6.214700787,5.819885666
11,lognormal,2.876979715,2.813343642,6.169736253,5.899110894,,,,FP2-1,2.873475915,2.815503538,6.20579542,5.897933244
12,RCS1,2.874346627,2.817157351,6.211170237,5.949966237,,,,FP2-2,2.873477743,2.815453384,6.207229604,5.903144031
13,RCS2,2.873820266,2.816949858,6.200478939,5.915347545,,,,RCS1,2.874346627,2.817157351,6.211170237,5.949966237
14,RP-hazard-1,2.872780161,2.81349845,6.184692129,5.883980445,,,,RCS2,2.873820266,2.816949858,6.200478939,5.915347545
15,RP-hazard-2,2.873679707,2.813573615,6.177443729,5.882306271,,,,RP-hazard-1,2.872780161,2.81349845,6.184692129,5.883980445
16,RP-normal-1,2.87279432,2.813343226,6.186245484,5.899109594,,,,RP-hazard-2,2.873679707,2.813573615,6.177443729,5.882306271
17,RP-normal-2,2.872541625,2.813339538,6.188006999,5.899191785,,,,RP-odds-1,2.872837903,2.812845451,6.186202462,5.911727378
18,RP-odds-1,2.872837903,2.812845451,6.186202462,5.911727378,,,,RP-odds-2,2.873826366,2.813643617,6.17955588,5.889534586
19,RP-odds-2,2.873826366,2.813643617,6.17955588,5.889534586,,,,RP-normal-1,2.87279432,2.813343226,6.186245484,5.899109594
20,weibull,2.882379806,2.820740669,6.158892203,5.826710407,,,,RP-normal-2,2.872541625,2.813339538,6.188006999,5.899191785
